budget,original_language,popularity,revenue,runtime,title,vote_average,vote_count,profit,profit_margin,hit_or_flop
200000000,en,100.025899,1845034188,194.0,Titanic,7.5,7562,1645034188,822.517094,Hit
250000000,en,198.372395,1153304495,147.0,Captain America: Civil War,7.1,7241,903304495,361.321798,Hit
209000000,en,64.928382,303025485,131.0,Battleship,5.5,2114,94025485,44.98827033492823,Flop
150000000,en,418.708552,1513528810,124.0,Jurassic World,6.5,8662,1363528810,909.0192066666667,Flop
200000000,en,93.004993,1108561013,143.0,Skyfall,6.9,7604,908561013,454.28050649999994,Flop
200000000,en,35.149586,783766341,127.0,Spider-Man 2,6.7,4321,583766341,291.8831705,Flop
200000000,en,77.68208,1215439994,130.0,Iron Man 3,6.8,8806,1015439994,507.719997,Flop
200000000,en,78.530105,1025491110,108.0,Alice in Wonderland,6.4,4645,825491110,412.74555499999997,Flop
210000000,en,3.857526,459359555,104.0,X-Men: The Last Stand,6.3,3525,249359555,118.74264523809524,Flop
200000000,en,89.186492,743559607,104.0,Monsters University,7.0,3528,543559607,271.7798035,Hit
150000000,en,21.939663,836297228,150.0,Transformers: Revenge of the Fallen,6.0,3138,686297228,457.53148533333336,Flop
210000000,en,116.840296,1091405097,165.0,Transformers: Age of Extinction,5.8,3095,881405097,419.71671285714285,Flop
200000000,en,46.985445,491868548,130.0,Oz: The Great and Powerful,5.7,3530,291868548,145.93427400000002,Flop
200000000,en,89.270217,705717432,142.0,The Amazing Spider-Man 2,6.5,4179,505717432,252.858716,Flop
170000000,en,73.79505,400062763,125.0,TRON: Legacy,6.3,2841,230062763,135.3310370588235,Flop
200000000,en,49.98659,559852396,106.0,Cars 2,5.8,2033,359852396,179.926198,Flop
200000000,en,51.872839,219851172,114.0,Green Lantern,5.1,2487,19851172,9.925586000000001,Flop
200000000,en,59.995418,1066969703,103.0,Toy Story 3,7.6,4597,866969703,433.4848515,Hit
200000000,en,71.862892,371353001,115.0,Terminator Salvation,5.9,2463,171353001,85.6765005,Flop
190000000,en,102.322217,1506249360,137.0,Furious 7,7.3,4176,1316249360,692.7628210526316,Hit
200000000,en,81.834855,531865000,116.0,World War Z,6.7,5560,331865000,165.9325,Flop
250000000,en,118.078691,747862775,131.0,X-Men: Days of Future Past,7.5,6032,497862775,199.14511,Hit
190000000,en,78.291018,467365246,132.0,Star Trek Into Darkness,7.4,4418,277365246,145.98170842105262,Hit
195000000,en,43.349855,197687603,114.0,Jack the Giant Slayer,5.5,2598,2687603,1.3782579487179487,Flop
105000000,en,61.196071,351040419,143.0,The Great Gatsby,7.3,3769,246040419,234.32420857142856,Hit
150000000,en,62.169881,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,185154643,123.43642866666667,Flop
180000000,en,56.523205,407602906,131.0,Pacific Rim,6.7,4794,227602906,126.44605888888889,Flop
195000000,en,28.529607,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,928746996,476.2805107692308,Flop
185000000,en,75.674458,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,601636033,325.2086664864865,Flop
175000000,en,51.692953,331926147,93.0,The Good Dinosaur,6.6,1736,156926147,89.672084,Flop
185000000,en,125.114374,538983207,93.0,Brave,6.7,4641,353983207,191.34227405405406,Flop
185000000,en,65.352913,343471816,122.0,Star Trek Beyond,6.6,2568,158471816,85.66044108108109,Flop
180000000,en,66.390712,521311860,98.0,WALL·E,7.8,6296,341311860,189.6177,Hit
140000000,en,22.57178,258022233,91.0,Rush Hour 3,6.1,783,118022233,84.30159499999999,Flop
200000000,en,45.274225,769653595,158.0,2012,5.6,4903,569653595,284.8267975,Flop
200000000,en,39.744242,325233863,96.0,A Christmas Carol,6.6,1095,125233863,62.61693149999999,Flop
176000003,en,85.36908,183987723,124.0,Jupiter Ascending,5.2,2768,7987720,4.538477195366866,Flop
180000000,en,42.741719,356743061,109.0,The Legend of Tarzan,5.5,2430,176743061,98.19058944444444,Flop
180000000,en,67.391328,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,568806957,316.003865,Flop
178000000,en,139.272042,543934787,144.0,X-Men: Apocalypse,6.4,4721,365934787,205.58134101123596,Flop
185000000,en,187.322927,1004558444,152.0,The Dark Knight,8.2,12002,819558444,443.00456432432435,Hit
175000000,en,92.201962,735099082,96.0,Up,7.7,6870,560099082,320.0566182857143,Hit
175000000,en,36.167578,381509870,94.0,Monsters vs Aliens,6.0,1423,206509870,118.00564,Flop
140000000,en,120.725053,585174222,126.0,Iron Man,7.4,8776,445174222,317.98158714285717,Hit
170000000,en,32.319043,185770160,126.0,Hugo,7.0,2141,15770160,9.276564705882354,Hit
170000000,en,40.748915,222104681,106.0,Wild Wild West,5.1,1020,52104681,30.649812352941176,Flop
145000000,en,60.034162,401128639,112.0,The Mummy: Tomb of the Dragon Emperor,5.2,1387,256128639,176.64044068965518,Flop
175000000,en,90.23792,745000000,123.0,Suicide Squad,5.9,7458,570000000,325.7142857142857,Flop
175000000,en,27.082182,173000000,96.0,Evan Almighty,5.3,1151,-2000000,-1.1428571428571428,Flop
178000000,en,79.456485,370541256,113.0,Edge of Tomorrow,7.6,4858,192541256,108.16924494382023,Hit
175000000,en,44.640292,264218220,135.0,Waterworld,5.9,992,89218220,50.98184,Flop
175000000,en,32.852443,302469017,118.0,G.I. Joe: The Rise of Cobra,5.6,1962,127469017,72.83943828571428,Flop
175000000,en,128.655964,857611174,94.0,Inside Out,8.0,6560,682611174,390.063528,Hit
175000000,en,94.199316,966550600,106.0,The Jungle Book,6.7,2892,791550600,452.31462857142856,Flop
200000000,en,77.300194,623933331,124.0,Iron Man 2,6.6,6849,423933331,211.9666655,Flop
170000000,en,77.178973,396600000,127.0,Snow White and the Huntsman,5.8,3118,226600000,133.29411764705884,Flop
180000000,en,110.620647,758539785,97.0,Maleficent,7.0,4496,578539785,321.4109916666667,Hit
170000000,en,243.791743,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,540644566,318.02621529411766,Hit
175000000,en,41.796339,150962475,119.0,47 Ronin,5.9,1326,-24037525,-13.73572857142857,Flop
170000000,en,72.225265,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,544766572,320.45092470588236,Hit
165000000,en,44.041186,752600867,93.0,Shrek Forever After,6.0,1959,587600867,356.1217375757576,Flop
190000000,en,130.311355,209154322,130.0,Tomorrowland,6.2,2846,19154322,10.081222105263157,Flop
165000000,en,203.73459,652105443,102.0,Big Hero 6,7.8,6135,487105443,295.21542,Hit
165000000,en,62.341073,471222889,108.0,Wreck-It Ralph,7.1,4570,306222889,185.5896296969697,Hit
165000000,en,47.323228,305875730,100.0,The Polar Express,6.4,1474,140875730,85.37923030303031,Flop
165000000,en,48.775723,389681935,120.0,Independence Day: Resurgence,4.9,2491,224681935,136.1708696969697,Flop
165000000,en,67.263269,494878759,98.0,How to Train Your Dragon,7.5,4227,329878759,199.9265206060606,Hit
200000000,en,69.405188,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,235000000,117.5,Flop
170000000,en,481.098624,773328629,121.0,Guardians of the Galaxy,7.9,9742,603328629,354.8991935294118,Hit
165000000,en,724.247784,675120017,169.0,Interstellar,8.1,10867,510120017,309.16364666666664,Hit
160000000,en,167.58371,825532764,148.0,Inception,8.1,13752,665532764,415.9579775,Hit
15000000,ja,9.476999,77000000,120.0,Shin Godzilla,6.5,143,62000000,413.33333333333337,Flop
250000000,en,108.849621,1021103568,169.0,The Hobbit: An Unexpected Journey,7.0,8297,771103568,308.4414272,Hit
38000000,en,6.909942,207283925,106.0,The Fast and the Furious,6.6,3428,169283925,445.48401315789476,Flop
150000000,en,60.269279,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,183932083,122.62138866666668,Hit
160000000,en,3.195174,353624124,132.0,X-Men: First Class,7.1,5181,193624124,121.0150775,Hit
160000000,en,127.284427,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,493428261,308.392663125,Flop
150000000,en,35.580815,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,65283742,43.52249466666667,Flop
160000000,en,21.133748,181674817,99.0,Poseidon,5.5,583,21674817,13.546760625000001,Flop
170000000,en,56.268916,299370084,113.0,Alice Through the Looking Glass,6.5,1725,129370084,76.1000494117647,Flop
160000000,en,42.986467,798958165,93.0,Shrek the Third,6.0,2278,638958165,399.348853125,Flop
160000000,en,63.148529,433677183,123.0,Warcraft,6.3,2268,273677183,171.048239375,Flop
155000000,en,202.042635,440603537,126.0,Terminator Genisys,5.8,3631,285603537,184.26034645161292,Flop
155000000,en,49.661984,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,260686217,168.18465612903225,Flop
140000000,en,34.20669,449220945,183.0,Pearl Harbor,6.6,1791,309220945,220.8721035714286,Flop
150000000,en,25.468493,709709780,144.0,Transformers,6.6,4040,559709780,373.13985333333335,Flop
155000000,en,39.019229,167298192,175.0,Alexander,5.6,927,12298192,7.934317419354839,Flop
150000000,en,78.144395,938212738,138.0,Harry Potter and the Order of the Phoenix,7.4,5494,788212738,525.4751586666667,Hit
150000000,en,101.250416,895921036,157.0,Harry Potter and the Goblet of Fire,7.5,5608,745921036,497.28069066666666,Hit
150000000,en,56.758411,624029371,92.0,Hancock,6.2,2961,474029371,316.0195806666667,Flop
150000000,en,70.867401,585349010,101.0,I Am Legend,6.9,4853,435349010,290.2326733333333,Flop
150000000,en,53.905592,474968763,115.0,Charlie and the Chocolate Factory,6.7,3624,324968763,216.64584200000002,Flop
150000000,en,65.677399,623722818,111.0,Ratatouille,7.5,4369,473722818,315.815212,Hit
150000000,en,115.040024,374218673,140.0,Batman Begins,7.5,7359,224218673,149.47911533333334,Hit
150000000,en,44.141021,603900354,89.0,Madagascar: Escape 2 Africa,6.2,1810,453900354,302.600236,Flop
150000000,en,81.781591,413106170,105.0,Night at the Museum: Battle of the Smithsonian,5.9,1971,263106170,175.40411333333333,Flop
150000000,en,5.954334,373062864,107.0,X-Men Origins: Wolverine,6.2,4021,223062864,148.708576,Flop
150000000,en,73.313918,424988211,129.0,The Matrix Revolutions,6.4,3096,274988211,183.325474,Flop
150000000,en,165.125366,1274219009,102.0,Frozen,7.3,5295,1124219009,749.4793393333333,Hit
150000000,en,70.78591,738599701,138.0,The Matrix Reloaded,6.7,3443,588599701,392.3998006666667,Flop
170000000,en,99.499595,644571402,112.0,Thor: The Dark World,6.8,4755,474571402,279.1596482352941,Flop
150000000,en,434.278564,378858340,120.0,Mad Max: Fury Road,7.2,9427,228858340,152.57222666666667,Hit
150000000,en,67.447636,356613439,138.0,Angels & Demons,6.5,2129,206613439,137.74229266666666,Flop
150000000,en,86.493424,449326618,115.0,Thor,6.6,6525,299326618,199.55107866666665,Flop
150000000,en,41.845878,309979994,98.0,Bolt,6.3,1750,159979994,106.65332933333333,Flop
150000000,en,26.710398,292817841,88.0,G-Force,5.1,510,142817841,95.211894,Flop
150000000,en,44.927635,301000000,99.0,Wrath of the Titans,5.5,1431,151000000,100.66666666666666,Flop
150000000,en,50.306728,245527149,113.0,Dark Shadows,5.7,2320,95527149,63.684766,Flop
150000000,en,114.522237,682330139,131.0,Mission: Impossible - Rogue Nation,7.1,3224,532330139,354.8867593333333,Hit
150000000,en,29.332905,287594577,91.0,Bee Movie,5.7,1171,137594577,91.729718,Flop
150000000,en,51.247321,665692281,91.0,Kung Fu Panda 2,6.7,1880,515692281,343.794854,Flop
150000000,en,33.769336,318502923,103.0,The Last Airbender,4.7,1151,168502923,112.335282,Flop
150000000,en,63.079003,397850012,126.0,Mission: Impossible III,6.5,2028,247850012,165.23334133333333,Flop
150000000,en,39.004588,205366737,131.0,White House Down,6.4,1891,55366737,36.911158,Flop
150000000,en,12.362599,38992758,88.0,Mars Needs Moms,5.5,199,-111007242,-74.004828,Flop
149000000,en,22.550135,64459316,85.0,Flushed Away,6.0,874,-84540684,-56.73871409395973,Flop
150000000,en,48.03528,128388320,111.0,Pan,5.9,954,-21611680,-14.407786666666667,Flop
145000000,en,38.73494,272912430,92.0,Mr. Peabody & Sherman,6.7,843,127912430,88.21546896551725,Flop
175000000,en,66.803149,497409852,163.0,Troy,6.9,2759,322409852,184.23420114285713,Flop
145000000,en,44.989192,746921274,93.0,Madagascar 3: Europe's Most Wanted,6.4,1808,601921274,415.11812,Flop
140000000,en,54.159392,431971116,133.0,Die Another Day,5.8,1092,291971116,208.55079714285716,Flop
144000000,en,66.21806,229147509,116.0,Ghostbusters,5.3,2142,85147509,59.13021458333333,Flop
140000000,en,58.485967,553799566,151.0,Armageddon,6.4,2482,413799566,295.57111857142854,Flop
140000000,en,91.332849,441818803,88.0,Men in Black II,6.0,3114,301818803,215.58485928571426,Flop
70000000,en,35.601665,195735876,115.0,Beowulf,5.5,841,125735876,179.62268,Flop
145000000,en,56.747978,521170825,95.0,Kung Fu Panda 3,6.7,1603,376170825,259.4281551724138,Flop
145000000,en,77.77477,694713380,133.0,Mission: Impossible - Ghost Protocol,6.8,3972,549713380,379.11267586206895,Flop
145000000,en,61.788035,306941670,97.0,Rise of the Guardians,7.1,1922,161941670,111.68391034482758,Hit
100000000,en,25.159168,202026112,90.0,Fun with Dick and Jane,5.9,627,102026112,102.026112,Flop
140000000,en,52.341226,456758981,154.0,The Last Samurai,7.3,1895,316758981,226.25641500000003,Hit
140000000,en,101.599427,268031828,150.0,Exodus: Gods and Kings,5.6,1921,128031828,91.45130571428571,Flop
150000000,en,73.616808,385680446,127.0,Star Trek,7.4,4518,235680446,157.12029733333333,Hit
139000000,en,82.502566,821708551,121.0,Spider-Man,6.8,5265,682708551,491.15723093525185,Flop
145000000,en,100.21391,609123048,102.0,How to Train Your Dragon 2,7.6,3106,464123048,320.08486068965516,Hit
140000000,en,56.257249,150680864,127.0,Gods of Egypt,5.3,1277,10680864,7.629188571428572,Flop
135000000,en,17.88953,76932943,121.0,Stealth,4.9,331,-58067057,-43.01263481481482,Flop
130000000,en,64.798873,185258983,163.0,Watchmen,7.0,2811,55258983,42.50691,Hit
140000000,en,24.855701,285444603,127.0,Lethal Weapon 4,6.3,767,145444603,103.88900214285715,Flop
137000000,en,34.981698,245360480,138.0,Hulk,5.3,1533,108360480,79.09524087591241,Flop
130000000,en,59.325589,371876278,110.0,G.I. Joe: Retaliation,5.4,3025,241876278,186.05867538461538,Flop
130000000,en,21.605568,119269486,124.0,Sahara,5.7,434,-10730514,-8.254241538461539,Flop
137000000,en,26.074908,85131830,106.0,Final Fantasy: The Spirits Within,5.9,433,-51868170,-37.85997810218978,Flop
140000000,en,74.506246,370569774,124.0,Captain America: The First Avenger,6.6,7047,230569774,164.69269571428572,Flop
135000000,en,39.604363,361832400,128.0,The World Is Not Enough,6.0,862,226832400,168.024,Flop
150000000,en,36.973031,212011111,138.0,Master and Commander: The Far Side of the World,6.9,790,62011111,41.34074066666666,Flop
120000000,en,99.687084,829000000,115.0,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,709000000,590.8333333333334,Flop
130000000,en,17.7735,150406466,100.0,Happy Feet Two,5.8,373,20406466,15.697281538461539,Flop
150000000,en,62.898336,163712074,114.0,The Incredible Hulk,6.1,3021,13712074,9.141382666666667,Flop
140000000,en,44.19092,183345589,120.0,The BFG,6.0,1000,43345589,30.961135000000002,Flop
135000000,en,100.635882,532950503,156.0,The Revenant,7.3,6396,397950503,294.7781503703704,Hit
135000000,en,44.765377,282570682,96.0,Turbo,6.1,1074,147570682,109.3116162962963,Flop
135000000,en,29.91353,245724603,107.0,Rango,6.6,2051,110724603,82.01822444444444,Flop
132000000,en,84.366984,373552094,92.0,Penguins of Madagascar,6.5,1346,241552094,182.99401060606058,Flop
70000000,en,45.381501,442824138,115.0,The Bourne Ultimatum,7.3,2888,372824138,532.6059114285714,Hit
130000000,en,84.689648,631744560,90.0,Kung Fu Panda,6.9,3145,501744560,385.95735384615386,Flop
130000000,en,120.09361,519311965,117.0,Ant-Man,7.0,5880,389311965,299.4707423076923,Hit
130000000,en,76.310119,847423452,146.0,The Hunger Games: Catching Fire,7.4,6495,717423452,551.8641938461539,Hit
135000000,en,63.473086,368871007,94.0,Home,6.8,1519,233871007,173.23778296296297,Flop
132000000,en,48.572726,591739379,116.0,War of the Worlds,6.2,2322,459739379,348.28740833333336,Flop
130000000,en,38.068736,273339556,147.0,Bad Boys II,6.3,1564,143339556,110.26119692307692,Flop
130000000,en,20.678787,554987477,90.0,Puss in Boots,6.4,451,424987477,326.9134438461538,Flop
110000000,en,48.829437,293329073,100.0,Salt,6.2,2093,183329073,166.66279363636363,Flop
125000000,en,46.115758,362637473,139.0,Noah,5.6,2350,237637473,190.1099784,Flop
130000000,en,89.938296,371940071,107.0,The Adventures of Tintin,6.7,2061,241940071,186.10774692307692,Flop
130000000,en,79.679601,789804554,141.0,Harry Potter and the Prisoner of Azkaban,7.7,5877,659804554,507.5419646153846,Hit
130000000,en,28.840997,49554002,165.0,Australia,6.3,694,-80445998,-61.88153692307692,Flop
130000000,en,42.840582,243843127,100.0,After Earth,5.0,2532,113843127,87.57163615384616,Flop
127500000,en,26.548594,354248063,82.0,Dinosaur,6.2,542,226748063,177.8416180392157,Flop
127000000,en,115.597753,349424282,97.0,Night at the Museum: Secret of the Tomb,6.1,1851,222424282,175.13722992125983,Flop
130000000,en,68.757242,321887208,95.0,Megamind,6.7,1918,191887208,147.60554461538462,Flop
125000000,en,109.984351,976475550,152.0,Harry Potter and the Philosopher's Stone,7.5,7006,851475550,681.18044,Hit
130000000,en,39.448066,61648500,96.0,R.I.P.D.,5.4,1260,-68351500,-52.57807692307692,Flop
140000000,en,271.972889,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,515011224,367.86516,Hit
125000000,en,206.227151,752100229,123.0,The Hunger Games: Mockingjay - Part 1,6.6,5584,627100229,501.6801832,Flop
125000000,en,45.313197,767820459,149.0,The Da Vinci Code,6.5,2704,642820459,514.2563672,Flop
103000000,en,42.40024,500188435,102.0,Rio 2,6.3,978,397188435,385.6198398058253,Flop
110000000,en,2.871739,407711549,133.0,X2,6.8,3506,297711549,270.6468627272727,Flop
125000000,en,7.255718,626137675,130.0,Fast Five,7.1,2438,501137675,400.91013999999996,Hit
125000000,en,81.499621,334615000,129.0,Sherlock Holmes: A Game of Shadows,7.0,3886,209615000,167.692,Hit
125000000,en,47.686442,232713139,106.0,Clash of the Titans,5.6,2233,107713139,86.17051119999999,Flop
65000000,en,43.129703,261317921,113.0,Total Recall,7.1,1710,196317921,302.02757076923075,Hit
160000000,en,27.220157,61698899,102.0,The 13th Warrior,6.4,510,-98301101,-61.438188125,Flop
130000000,en,90.33681,276572938,120.0,The Bourne Legacy,6.0,2651,146572938,112.74841384615384,Flop
125000000,en,50.073575,238207122,125.0,Batman & Robin,4.2,1418,113207122,90.5656976,Flop
123000000,en,45.419668,345141403,104.0,How the Grinch Stole Christmas,6.2,1386,222141403,180.60276666666667,Flop
125000000,en,41.380094,544272402,124.0,The Day After Tomorrow,6.2,2392,419272402,335.4179216,Flop
125000000,en,54.931334,546388105,123.0,Mission: Impossible II,5.9,1928,421388105,337.110484,Flop
120000000,en,25.752118,325756637,130.0,The Perfect Storm,6.2,597,205756637,171.46386416666667,Flop
130000000,en,60.810723,289047763,92.0,Fantastic 4: Rise of the Silver Surfer,5.4,2589,159047763,122.34443307692308,Flop
120000000,en,51.328145,609016565,127.0,Life of Pi,7.2,5797,489016565,407.51380416666666,Hit
110000000,en,46.834704,228738393,114.0,Ghost Rider,5.2,1712,118738393,107.94399363636364,Flop
120000000,en,62.641286,415484914,123.0,Jason Bourne,5.9,2341,295484914,246.23742833333333,Flop
120000000,en,33.616115,259175788,106.0,Charlie's Angels: Full Throttle,5.2,914,139175788,115.97982333333334,Flop
130000000,en,68.889395,403170142,124.0,Prometheus,6.3,5080,273170142,210.13087846153846,Flop
120000000,en,27.990284,169956806,78.0,Stuart Little 2,5.4,613,49956806,41.63067166666667,Flop
115000000,en,67.33767,286140700,109.0,Elysium,6.4,3439,171140700,148.818,Flop
105000000,en,27.835436,115772733,119.0,The Chronicles of Riddick,6.3,1570,10772733,10.259745714285714,Flop
120000000,en,66.757869,242688965,102.0,RoboCop,5.7,2342,122688965,102.24080416666668,Flop
120000000,en,17.060695,93945766,135.0,Speed Racer,5.7,354,-26054234,-21.711861666666664,Flop
120000000,en,11.137655,48668907,121.0,How Do You Know,4.9,223,-71331093,-59.442577500000006,Flop
117000000,en,44.906918,261930431,109.0,Knight and Day,5.9,1547,144930431,123.87216324786326,Flop
120000000,en,67.698004,286168572,124.0,Oblivion,6.4,4800,166168572,138.47381000000001,Flop
113000000,en,44.108427,850000000,140.0,Star Wars: Episode III - Revenge of the Sith,7.1,4116,737000000,652.2123893805309,Hit
120000000,en,43.987061,649398328,142.0,Star Wars: Episode II - Attack of the Clones,6.4,3992,529398328,441.1652733333334,Flop
115000000,en,106.815545,562816256,92.0,"Monsters, Inc.",7.5,5996,447816256,389.40544,Hit
120000000,en,15.953444,415440673,126.0,The Wolverine,6.3,4053,295440673,246.20056083333336,Flop
115000000,en,54.035265,924317558,136.0,Star Wars: Episode I - The Phantom Menace,6.3,4432,809317558,703.7543982608696,Flop
135000000,en,64.183321,585178928,98.0,The Croods,6.8,2399,450178928,333.4658725925926,Flop
97250400,fr,20.344364,132900000,116.0,Asterix at the Olympic Games,5.0,471,35649600,36.657535598825305,Flop
115000000,en,18.714197,77628265,134.0,Windtalkers,5.8,341,-37371735,-32.497160869565214,Flop
115000000,en,60.467984,164602163,114.0,The Huntsman: Winter's War,6.0,1523,49602163,43.132315652173915,Flop
125000000,en,143.350376,477200000,101.0,Teenage Mutant Ninja Turtles,5.8,2636,352200000,281.76,Flop
105000000,en,110.153618,716392705,91.0,Gravity,7.3,5751,611392705,582.2787666666667,Hit
116000000,en,16.90444,178127760,108.0,Dante's Peak,5.7,428,62127760,53.55841379310344,Flop
135000000,en,39.873791,245623848,112.0,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,110623848,81.94359111111112,Flop
120000000,en,38.126095,167977596,100.0,Fantastic Four,4.4,2278,47977596,39.98133,Flop
110000000,en,48.780039,574480841,108.0,Night at the Museum,6.3,2862,464480841,422.25531,Flop
110000000,en,100.412364,470490832,114.0,San Andreas,6.0,2968,360490832,327.7189381818182,Flop
110000000,en,42.887121,333011068,119.0,Tomorrow Never Dies,6.0,925,223011068,202.73733454545453,Flop
110000000,en,23.657284,215294342,165.0,The Patriot,6.8,1099,105294342,95.72212909090909,Flop
110000000,en,76.840712,362744280,125.0,Ocean's Twelve,6.4,2124,252744280,229.76752727272728,Flop
110000000,en,44.635452,478207520,120.0,Mr. & Mrs. Smith,6.5,2965,368207520,334.7341090909091,Flop
110000000,en,103.718387,295238201,119.0,Insurgent,6.2,3829,185238201,168.39836454545454,Flop
116000000,en,45.616098,102000000,170.0,The Aviator,7.0,1489,-14000000,-12.068965517241379,Hit
112000000,en,22.845143,237382724,85.0,Gulliver's Travels,4.9,621,125382724,111.94886071428571,Flop
120000000,en,31.703608,227817248,119.0,The Green Hornet,5.5,1251,107817248,89.84770666666667,Flop
110000000,en,71.510596,337580051,102.0,300: Rise of an Empire,6.1,2397,227580051,206.89095545454546,Flop
110000000,en,36.65422,563749323,103.0,The Smurfs,5.5,1179,453749323,412.4993845454545,Flop
110000000,en,19.625972,103951461,76.0,Home on the Range,5.7,389,-6048539,-5.498671818181818,Flop
110000000,en,86.105615,179246868,121.0,Allegiant,5.9,1998,69246868,62.95169818181818,Flop
110000000,en,37.195046,299268508,127.0,Real Steel,6.6,2692,189268508,172.06228,Flop
105000000,en,32.473628,347434178,105.0,The Smurfs 2,5.5,695,242434178,230.8896933333333,Flop
160000000,en,23.336875,164508066,121.0,Speed 2: Cruise Control,4.1,434,4508066,2.81754125,Flop
110000000,en,45.94834,125537191,114.0,Ender's Game,6.6,2303,15537191,14.12471909090909,Flop
110000000,en,48.93337,383531464,128.0,Live Free or Die Hard,6.4,2089,273531464,248.6649672727273,Flop
93000000,en,138.049577,871368364,178.0,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,778368364,836.9552301075269,Hit
110000000,en,22.643776,72178895,120.0,Around the World in 80 Days,5.7,672,-37821105,-34.382822727272725,Flop
107000000,en,18.866672,87713825,157.0,Ali,6.7,447,-19286175,-18.02446261682243,Flop
120000000,en,95.914473,347234916,115.0,"I, Robot",6.7,3793,227234916,189.36243,Flop
130000000,en,44.490453,211643158,144.0,Kingdom of Heaven,6.6,1157,81643158,62.80242923076923,Flop
133000000,en,30.475297,300135367,84.0,Stuart Little,5.8,959,167135367,125.66568947368421,Flop
105000000,en,62.479574,267045765,97.0,The Princess and the Frog,6.7,1247,162045765,154.3293,Flop
108000000,en,167.93287,630161890,141.0,The Martian,7.6,7268,522161890,483.4832314814815,Hit
126000000,en,37.68056,162949164,136.0,The Island,6.5,1770,36949164,29.324733333333334,Flop
90000000,en,1.004579,10372291,104.0,Town & Country,3.7,16,-79627709,-88.47523222222222,Flop
